"filename", "language", "Go Module File", "HTML", "Markdown", "JSON", "TypeScript", "JavaScript", "Python", "Docker", "CSS", "JSON with Comments", "Go", "C++", "YAML", "comment", "blank", "total"
"/home/sachin-kumar/Desktop/coding/1/cpp/src/context_manager.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 7, 11, 76
"/home/sachin-kumar/Desktop/coding/1/cpp/src/inference_queue.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, -1, 0, 2
"/home/sachin-kumar/Desktop/coding/1/cpp/src/neural_engine.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 8, 13, 63
"/home/sachin-kumar/Desktop/coding/1/cpp/src/simd_utils.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 1, 13, 66
"/home/sachin-kumar/Desktop/coding/1/cpp/src/symbolic_engine.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 3, 9, 47
"/home/sachin-kumar/Desktop/coding/1/cpp/src/titan.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 4, 11, 54
"/home/sachin-kumar/Desktop/coding/1/deploy/grafana/dashboards/sovereign.json", "JSON", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33
"/home/sachin-kumar/Desktop/coding/1/deploy/prometheus/alerts.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 3, 30
"/home/sachin-kumar/Desktop/coding/1/deploy/prometheus/prometheus.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"/home/sachin-kumar/Desktop/coding/1/go.mod", "Go Module File", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/home/sachin-kumar/Desktop/coding/1/internal/auditor/auditor_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 5, 9, 41
"/home/sachin-kumar/Desktop/coding/1/internal/auditor/keystore.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 2, 23, 113
"/home/sachin-kumar/Desktop/coding/1/internal/auditor/store.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 1, 11, 58
"/home/sachin-kumar/Desktop/coding/1/internal/auditor/trail.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 0, 1, 10, 74
"/home/sachin-kumar/Desktop/coding/1/internal/auditor/verifier.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 4, 8, 41
"/home/sachin-kumar/Desktop/coding/1/internal/auth/auth_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 7, 15, 80
"/home/sachin-kumar/Desktop/coding/1/internal/auth/jwt.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 6, 17, 99
"/home/sachin-kumar/Desktop/coding/1/internal/auth/middleware.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 5, 20, 122
"/home/sachin-kumar/Desktop/coding/1/internal/core/health.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 2, 8, 40
"/home/sachin-kumar/Desktop/coding/1/internal/guard/audit_hook.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 7, 26
"/home/sachin-kumar/Desktop/coding/1/internal/guard/capabilities.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"/home/sachin-kumar/Desktop/coding/1/internal/guard/enforcer.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 3, 13, 69
"/home/sachin-kumar/Desktop/coding/1/internal/guard/guard_test.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 4, 8, 8
"/home/sachin-kumar/Desktop/coding/1/internal/guard/sandbox.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 2, 14, 68
"/home/sachin-kumar/Desktop/coding/1/internal/mathsolver/client.go", "Go", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 2, 19, 114
